"address/buildingId","address/city","address/state","address/streetAddress","address/zipcode","cityId","stateId","price/changedDate","price/priceChange","price/pricePerSquareFoot","price/suffix","price/value","homeStatus","datePostedString","description"
,"Spring Hill","FL","10568 Horizon Dr","34608","27219","14",,,"211",,"399700","FOR_SALE","2023-10-16","This well maintained 3 bedroom, 2 bath split-plan pool home is nestled in a peaceful and picturesque neighborhood. This property offers the perfect blend of comfort, style, and tranquility. Step into your own private oasis as you relax by the sparkling pool, surrounded by lush landscaping. The spacious screened lanai is perfect for entertaining friends and family or enjoying your morning coffee while taking in the Florida sun. The open concept design connects the kitchen to the living area, making it ideal for hosting gatherings and creating lasting memories. Unwind in the master suite, complete with a walk-in closet and an ensuite bathroom, offering a spa-like experience with a soaking tub and a separate shower. Natural light floods every room, creating a warm and inviting ambiance. The high ceilings and open layout enhance the sense of space and make every corner of this home feel bright and airy."
,"New Port Richey","FL","7309 Ashmore Dr","34653","6172","14",,,"296",,"374900","FOR_SALE","2023-10-16","You'll absolutely adore this move in ready three-bedroom, two-bathroom residence situated in New Port Richey! Upon entry, you'll be greeted by a welcoming foyer leading into the generously spacious Living Room, graced with beautiful flooring and soaring ceilings that extend throughout the entire home. The modernized kitchen comes complete with stainless-steel appliances, ample counter space, and sleek white satin cabinets. Seamlessly connected to the kitchen is the Dining Room, which showcases French doors that usher in abundant natural light while granting access to the fenced backyard, a patio, and your very own private swimming pool. Come see it today and take advantage of all these great amenities."
,"Hudson","FL","13329 Marble Sands Ct","34669","25206","14",,,"188",,"450000","FOR_SALE","2023-10-16","This charming turnkey 2,389 square foot, 5 bedroom, 2.5 bath home is in the beautiful Lakeside Community. Built in 2020, this home is essentially brand new! Built by Lennar and is the Columbia floor plan. The home provides ample living space, as well as convenience. The kitchen is a foodie's dream, with a center island, full-size pantry and GE appliances. The downstairs owner's suite provides complete privacy and space, with a huge walk-in closet as well as his and hers sinks. The second floor has four additional bedrooms and a loft, perfect for accommodating and entertaining. The loft comes with a projector screen, great for watching movies or the Super Bowl! The yard is FULLY fenced in with a pond view and home is at the end of the cul de sac. Just minutes from restaurants, near schools, shopping, major highways, gorgeous Florida beaches and more! This one you have to see!"
,"Land O Lakes","FL","17264 Amber Aspen Way","34638","32416","14",,,"202",,"337990","FOR_SALE","2023-10-16","Under Construction. Located off Tower Rd, Westwood brings new homes to Land O’ Lakes and is just minutes from the Suncoast parkway. The community, located in a very desirable area, offers a pool, cabana, playground, dog park, passive park, and paved trails. Homeowners will have access to a multitude of excellent conveniences, including close proximity to State Road 54, shopping, restaurants, and of course, the Suncoast Parkway. The Tampa airport and downtown Tampa are both just a short 30-minute drive away. The zoned schools are all excellently rated and not far from the community. Westwood will feature our Express series townhomes.  Each home is constructed with all concrete block construction on 1st and 2nd stories and Home is Connected; D.R. Horton’s Smart Home System.  Pictures, photographs, colors, features, and sizes are for illustration purposes only and will vary from the homes as built. Home and community information, including pricing, included features, terms, availability, and amenities, are subject to change and prior sale at any time without notice or obligation. Materials may vary based on availability. D.R. Horton Reserves all Rights."
,"Hudson","FL","7105 Country Club Dr","34667","25206","14",,,"232",,"299900","FOR_SALE","2023-10-16","***Welcome to your dream oasis in Hudson, FL! This meticulously renovated 3-bedroom, 2-bathroom pool and spa house at 7105 Country Club Dr. Hudson FL 34667, offers 1,290 Sqft. of luxurious living space on an expansive lot. Every detail of this residence has been thoughtfully crafted to created an unparalleled living experience. Step inside to discover a stunning in-suite master bedroom, your personal haven of relaxation and comfort. The open-concept design seamlessly merges the living, dining, and kitchen areas, providing a perfect flow for both everyday living and entertaining. No expense has been spared in the renovation of the kitchen, which boasts high-end appliances, elegant countertops, and ample storage space. Whether you're culinary enthusiast or simply enjoy hosting gatherings, this kitchen is a true masterpiece. Indulge in the FL lifestyle as you step outside to your private backyard retreat. The sparkling pool and spa invite you to unwind, while the large lot provides endless possibilities for outdoor enjoyment, from gardening to creating your personalized outdoor oasis. Situated in the desirable community of Hudson, this home offers a tranquil setting while still being conveniently located to local amenities, shopping, dining and more. Make this renovated beauty your forever home. Schedule a private tour and experience the elegance and sophistication firsthand. Your Florida paradise awaits!!"
,"Haines City","FL","306 Bottle Brush Dr","33844","45612","14",,,"220",,"350838","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. Sample Images Bradley A model offered by Dream Finders Homes on Lot 609 Ready 1st Quarter 2024. this home comes with 9""4 Ceilings, 42""Barnett Harbor Cabinets & Throughout; Countertop-Ornamental White Granite Countertop w/ Sinks; Emser Cabo Coast 17x17 Floor Tile (All STD Wet Areas); Dwellings DF 106 Leland 530 Doeskin Carpet w/ 5lb Carpet Pad; & Emser White 6x6 set straight Wall Tile w/ Artic White 2x2 set straight Shower Pan Tiles and Garage Door Opener. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart, and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier."
,"Haines City","FL","299 Bottle Brush Dr","33844","45612","14",,,"207",,"364588","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. *Model Stock Photo not actual home. **Hillcrest A on Lot 540 offers 9'4 Ceilings, 42"" Kitchen Upper Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertop w/ Sinks; Emser Cabo Ocean 17x17 Floor Tile (All STD Wet Areas); Dwellings DF108 Chesterton 200 Jet Stream Carpet w/ 5llb Carpet pad; Emser White 6x6 Set Straight Wall Tiles w/ Artic White 2x2 set straight Shower Pan Tiles. Welcome to Cypress Park Estates, a new single-family home community located in Haines City. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier. Dream Finders Homes is proud to offer a collection of single-family homes perfect for growing families and first-time home buyers alike. Don’t miss out - contact us today for more."
,"Haines City","FL","291 Bottle Brush Dr","33844","45612","14",,,"219",,"349990","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. ample Images Bradley A model offered by Dream Finders Homes on Lot 542 Ready 1st Quarter 2024. this home comes with 9""4 Ceilings, 42""Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertop w/ Sinks; Emser Cabo Ocean 17x17 Floor Tile (All STD Wet Areas); Dwellings DF108 Chesterton 200 Jet Stream Carpet w/ 5llb Carpet pad; Emser White 6x6 Set Straight Wall Tiles w/ Artic White 2x2 set straight Shower Pan Tiles. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier."
,"Haines City","FL","476 Silver Palm Dr","33844","45612","14",,,"209",,"367938","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. Sample Image Hillcrest A  Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart, and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead."
,"Haines City","FL","295 Bottle Brush Dr","33844","45612","14",,,"182",,"383738","FOR_SALE","2023-10-16","Under Construction. Sample Images The Poinciana A with stone on lot 541 9'4 Ceilings, 42"" Kitchen Upper Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertop w/ Sinks; Emser Cabo Ocean 17x17 Floor Tile (All STD Wet Areas); Dwellings DF108 Chesterton 200 Jet Stream Carpet w/ 5llb Carpet pad; Emser White 6x6 Set Straight Wall Tiles w/ Artic White 2x2 set straight Shower Pan Tiles. Cypress Park Estates, a new single-family home community located in Haines City. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier."
,"Palm Coast","FL","10 Boston Ln","32137","26366","14",,,"189",,"434900","FOR_SALE","2023-10-16","Under Construction. NEW CONSTRUCTION...Beautiful 2295 sq ft 4 bedroom 3 bath solid concrete block home! The gorgeous home boasts a large open kitchen, complete with a generously sized pantry, granite counter tops, stainless steel appliances and a deep under mount sink. The upgrades in this home don’t stop there, it also has 9’4” ceilings, ceiling fans, luxury vinyl plank flooring, window blinds, garage door openers, zoned sprinkler system and a covered lanai, all standard.  The primary bedroom is equipped with a walk in closet, a spacious tiled shower and double vanity with granite counters. Two of the secondary bedrooms share a full bath. The 4th bedroom has a en suite full bathroom. Come take a look, it won’t disappoint. ASK ABOUT THE GENEROUS INCENTIVE PACKAGE!!! Pictures are of a previously built home. Buyer to verify information and measurements."
,"Haines City","FL","327 Bottle Brush Dr","33844","45612","14",,,"184",,"388378","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. Sample Images The Poinciana A with stone on lot 533 Design Package C Includes: 36"" Kitchen Upper Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertops; Emser Boxwood Celtics 7x22 Floor Tile (All STD Wet Areas & Living / Gathering Room); Dwellings DF 106 Leland 530 Doeskin Carpet w/ 5lb pad; Emser White 6x6 Set Straight Wall Tile w/ Artic White 2x2 set straight Shower Pan Tiles. Cypress Park Estates, a new single-family home community located in Haines City. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier."
,"Haines City","FL","302 Bottle Brush Dr","33844","45612","14",,,"209",,"367938","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. Sample Image Hillcrest B by Dream Finders Homes on lot 610 9'4"" Ceiling Height Design Package B Includes 42"" Kitchen Upper Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertop w/ Sinks; Microwave/Hood Vent to Exterior Emser Cabo Ocean 17x17 Floor Tile (All STD Wet Areas); Dwellings DF108 Chesterton 200 Jet Stream Carpet w/ 5llb Carpet pad; Emser White 6x6 Set Straight Wall Tiles w/ Artic White 2x2 set straight Shower Pan Tiles, 3.9 cu. ft. Top Load Washer with Soaking Cycle, Top Load Electric Dryer with AutoDry DryingSystem, and Garage Door Opener. Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart, and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead."
,"Haines City","FL","311 Bottle Brush Dr","33844","45612","14",,,"184",,"388938","FOR_SALE","2023-10-16","Under Construction. Sample Images The Poinciana A with stone on lot 537 Design Package C Includes: 42"" Kitchen Upper Barnett Stone Cabinets Throughout; Peppered Ash Granite Countertops w/ Sinks; Emser Brooke White 12x24 Floor Tile (All STD Wet Areas & Living / Gathering Area);Dwellings DF108 Chesterton 200 Jet Stream Carpet w/ 5lb pad; & Emser White 6x6 Set Straight Wall Tile w/ Artic White 2x2 set straight Shower Pan Tiles. Cypress Park Estates, a new single-family home community located in Haines City. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier."
,"Haines City","FL","307 Bottle Brush Dr","33844","45612","14",,,"196",,"378888","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. Sample Image Dream Finders homes offers the Mulberry A with stone on lot 538. This home offers 9.4 ceilings, 42"" Kitchen Upper Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertop w/ Sinks; Emser Boxwood Celtics 7x22 Floor Tile (All STD Wet Areas & Living / Gathering Room); Dwellings DF106 Leland 530 Doeskin Carpet w/ 5lb pad; Emser White 6x6 Set Straight Wall Tile w/ Artic White 2x2 set straight Shower pan tiles *Welcome to Cypress Park Estates, a new single-family home community located in Haines City. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier. Dream Finders Homes is proud to offer a collection of single-family homes perfect for growing families and first-time home buyers alike. Don’t miss out - contact us today for more information!"
,"Haines City","FL","315 Bottle Brush Dr","33844","45612","14",,,"211",,"370878","FOR_SALE","2023-10-16","One or more photo(s) has been virtually staged. Under Construction. **Model Stock Photo not actual home. **Hillcrest B on Lot 536 offers 9'4 Ceilings, 42"" Kitchen Upper Barnett Linen Cabinets Throughout; Peppered Ash Granite Countertops; Emser Boxwood Celtics 7x22 Floor Tile (All STD Wet Areas & Living / Gathering Room); Dwellings DF106 Leland 530 Doeskin Carpet w/ 5lb pad; Emser White 6x6 Set Straight Wall Tile w/ Artic White 2x2 set straight Shower Pan Tiles. Welcome to Cypress Park Estates, a new single-family home community located in Haines City. Now known as Polk County's third largest city, Haines City provides a small-town feel while still being close to world-class attractions. Moreover, Cypress Park Estates is conveniently located in the heart of the city. Just minutes from essential shops like Publix, Walmart and Lowe’s along with local dining and entertainment options. Not to mention, this community is moments away from beautiful lakes, championship golf courses, sports venues and so much more. From spending a day at Lake Eva Community Park or exploring the hiking trails of Lake Marion Trailhead. Spending time outside with your family has never been easier. Dream Finders Homes is proud to offer a collection of single-family homes perfect for growing families and first-time home buyers alike. Don’t miss out - contact us today for more"
,"Land O Lakes","FL","17268 Amber Aspen Way","34638","32416","14",,,"202",,"337990","FOR_SALE","2023-10-16","Under Construction. Located off Tower Rd, Westwood brings new homes to Land O’ Lakes and is just minutes from the Suncoast parkway. The community, located in a very desirable area, offers a pool, cabana, playground, dog park, passive park, and paved trails. Homeowners will have access to a multitude of excellent conveniences, including close proximity to State Road 54, shopping, restaurants, and of course, the Suncoast Parkway. The Tampa airport and downtown Tampa are both just a short 30-minute drive away. The zoned schools are all excellently rated and not far from the community. Westwood will feature our Express series townhomes.  Each home is constructed with all concrete block construction on 1st and 2nd stories and Home is Connected; D.R. Horton’s Smart Home System.  Pictures, photographs, colors, features, and sizes are for illustration purposes only and will vary from the homes as built. Home and community information, including pricing, included features, terms, availability, and amenities, are subject to change and prior sale at any time without notice or obligation. Materials may vary based on availability. D.R. Horton Reserves all Rights."
,"Summerfield","FL","8453 SE Highway 42","34491","47895","14",,,"196",,"299900","FOR_SALE","2023-10-16","New Construction!! ready to move in. This beautiful home is very well located, in a subdivision with No HOA no fees, and very close to the Villages to enjoy shops, restaurants, supermarket, gym, also close to hospitals. This fantastic home comes with double french door as entrance, all doors in this house and all windows are hurricane impact for your insurance discount. The adorable kitchen with wood cabinets and Quartz countertop with pantry and all appliances really makes the difference. Floors are 20mil vinyl plank throughout the home. Inside laundry room with washer and dryer included. Upgrade light fixtures with fans in all living areas and all bedrooms. Good size Master bedroom with big walk-in closet, master bathroom with double sink also Quartz countertop, very nice tile shower in both bathrooms. Dining room with double sliding doors impact resistance as well that open up to the porch to enjoy nature.  Lot is .22 of acre. The taste and colors of this home are unique. This is really a must see home!"
,"Kissimmee","FL","3129 Arrow Dr","34746","18847","14",,,"312",,"430000","FOR_SALE","2023-10-16","Discover the charm of this 3-bedroom, 2-bathroom home in Kissimmee. The spacious living area and well-designed kitchen are perfect for daily living and entertaining. The generously sized bedrooms provide ample space. This property is currently a short-term rental, making it a fantastic investment opportunity with a positive income-producing potential. The furniture is included, allowing for a seamless transition. Located in the heart of Kissimmee, you'll have easy access to shopping, dining, entertainment, and all of Central Florida's attractions. Plus, the location is less than 15 minutes away from the theme parks and major tourist areas, making it an ideal choice for vacation renters and homeowners alike. The property also features a pool with heated water, providing year-round enjoyment. Don't miss the chance to make this charming property your own. Contact us today to schedule a showing and start your journey to calling it home or generating rental income."
,"Orlando","FL","8403 Aden Ct","32817","13121","14",,,"224",,"465000","FOR_SALE","2023-10-16","Welcome to your new home sweet home, nestled on nearly half an acre in a quiet cul-de-sac. This delightful property boasts three bedrooms, three bathrooms, and a two car garage, offering the perfect canvas for comfortable living. But that's not all - it also features an attached private mother-in-law suite, complete with a convenient kitchenette and a separate entrance, providing limitless possibilities for multi-generational living or generating extra income through house-hacking. Imagine the potential here! As you step through the front door, you're greeted by an inviting open floor plan with lots of natural light and easy-to-maintain wood-look laminate flooring, setting the stage for effortless entertaining. The spacious kitchen is the heart of the home, showcasing a large center island, granite countertops, and stainless steel appliances. Venture outdoors to discover your very own private oasis, spanning almost half an acre. There's ample space for all your outdoor toys, be it a boat, ATV, RV, or work vehicle. In addition to the two-car garage, you'll find a detached 24x16 workshop at the rear of the property, complete with electricity and plumbing, ready to be transformed into an additional garage, storage space, workshop, or the ultimate man cave/she shed. The possibilities are endless. Don't let this opportunity slip through your fingers; homes like this are a rare find. Come and see it for yourself, and experience the unique blend of comfort, convenience, and potential that this property has to offer. Schedule your showing today!      <div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://my.matterport.com/show/?m=d6AYmG4AEmG&mls=1"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;""></iframe></div>"
